time	hru_evap(1)	soil_runoff(1)	soil_moist(1)	soil_rechr(1)	runoff(1)	meltrunoff(1)	infil(1)	hru_actet(1)	Sdex(1)	Sdexcess(1)	basinflow_m(1)	gwoutflow_m(1)	outflow_m(1)	runoutflow_m(1)	Sd(1)
units	(mm/int)	(mm/int)	(mm)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm/int)	(mm)
40828.41667	0.122553	0	215.187	25.1874	0	0	0	0.0474712	0	0	0	0	0	0	11.242
40828.45833	0.127916	0	215.144	25.1443	0	0	0	0.0494762	0	0	0	0	0	0	11.2356
40828.5	0.179726	0	215.084	25.0838	0	0	0	0.06941	0	0	0	0	0	0	11.2267
40828.54167	0.139835	0	215.037	25.0368	0	0	0	0.0538886	0	0	0	0	0	0	11.2198
40828.58333	0.124704	0	215.195	25.1947	0	0	0.2	0.0483083	0	0	0	0	0	0	11.2136
40828.625	0.121878	0	216.152	26.1519	0	0	1	0.0487584	0	0	0	0	0	0	11.2076
40828.66667	0.114624	0	217.31	27.31	0	0	1.2	0.0476132	0	0	0	0	0	0	11.202
40828.70833	0.0860234	0	218.677	28.6769	0	0	1.4	0.0372814	0	0	0	0	0	0	11.1978
40828.75	0	0	222.477	32.4769	0	0	3.8	0	0	0	0	0	0	0	11.1978
40828.79167	0	0	224.477	34.4769	0	0	2	0	0	0	0	0	0	0	11.1978
40828.83333	0	0	225.877	35.8769	0	0	1.4	0	0	0	0	0	0	0	11.1978
40828.875	0	0	226.877	36.8769	0	0	1	0	0	0	0	0	0	0	11.1978
40828.91667	0	0	227.477	37.4769	0	0	0.6	0	0	0	0	0	0	0	11.1978
40828.95833	0	0	228.077	38.0769	0	0	0.6	0	0	0	0	0	0	0	11.1978
40829	0	0	228.477	38.4769	0	0	0.4	0	0	0	0	0	0	0	11.1978
40829.04167	0	0	228.477	38.4769	0	0	0	0	0	0	0	0	0	0	11.1978
40829.08333	0	0	228.677	38.6769	0	0	0.2	0	0	0	0	0	0	0	11.1978
40829.125	0	0	228.677	38.6769	0	0	0	0	0	0	0	0	0	0	11.1978
40829.16667	0	0	229.277	39.2769	0	0	0.6	0	0	0	0	0	0	0	11.1978
40829.20833	0	0	229.277	39.2769	0	0	0	0	0	0	0	0	0	0	11.1978
40829.25	0	0	229.277	39.2769	0	0	0	0	0	0	0	0	0	0	11.1978
40829.29167	0	0	229.277	39.2769	0	0	0	0	0	0	0	0	0	0	11.1978
40829.33333	0.0810996	0	229.234	39.2341	0	0	0	0.0465513	0	0	0	0	0	0	11.194
40829.375	0.122815	0	229.169	39.1694	0	0	0	0.0704251	0	0	0	0	0	0	11.1883
40829.41667	0.138686	0	229.096	39.0964	0	0	0	0.0794047	0	0	0	0	0	0	11.1818
40829.45833	0.145235	0	229.02	39.0202	0	0	0	0.0830115	0	0	0	0	0	0	11.1751
40829.5	0.150339	0	228.941	38.9414	0	0	0	0.0857738	0	0	0	0	0	0	11.1681
